Model,Scenario,Region,Variable,Unit,Year,Value
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2031,11.21032166
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2032,11.26505733
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2033,11.30884586
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2034,11.34387669
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2035,11.37190135
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2036,11.39432108
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2037,11.41225687
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2038,11.42660549
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2039,11.43808439
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2040,11.44726752
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2041,11.45461401
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2042,11.46049121
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2043,11.46519297
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2044,11.46895437
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2045,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2046,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2047,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2048,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2049,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,2050,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2015,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2016,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2017,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2018,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2019,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2020,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2021,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2022,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2023,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2024,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2025,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2026,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2027,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2028,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2029,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2030,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2031,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2032,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2033,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2034,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2035,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2036,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2037,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2038,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2039,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2040,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2041,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2042,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2043,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2044,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2045,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2046,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2047,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2048,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2049,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,2050,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2015,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2016,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2017,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2018,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2019,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2020,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2021,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2022,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2023,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2024,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2025,45.38517884
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2026,42.7894343
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2027,40.19368975
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2028,37.59794521
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2029,35.00220066
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2030,32.40645611
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2031,31.25526383
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2032,30.10407154
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2033,28.95287925
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2034,27.80168696
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2035,26.65049467
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2036,26.28182395
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2037,25.91315322
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2038,25.5444825
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2039,25.17581177
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2040,24.80714105
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2041,24.72922374
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2042,24.65130644
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2043,24.57338914
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2044,24.49547184
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2045,24.41755454
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2046,24.41755454
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,2047,24.41755454
